"Mission.CEOS.ID";"Short.Name";"Full.Name";"Mission.agencies";"Launch.year";"Orbit";"Instrument.CEOS.ID";"Resolution";"Swath";"Short.name";"Full.name";"Technology";"Instrument.agencies"
"352";"RADARSAT-2";"RADARSAT-2";"CSA, MDA";"14 Dec 2007";"Sun-synchronous";703;"Spotlight: 5 - 2 x 0.8 m (1 look);  Ultra-Fine: 5 - 2 x 3 m (1 look); Wide Ultra-Fine: 3 - 2 x 3 m (1 look); Multi-Look Fine/Wide MLF: 11 - 7 x 8 m (4 looks); Extra-Fine: 8 - 4 x 5 m (1 look) to 24 -12 x 24 m (28 looks); Fine: 10 - 7 x 8 m (1 look);  Wide Fine: 15 - 7 x 8 m (1 look); Standard: 27 - 17 x 25 m (4 looks); Wide: 40 - 19 x 25 m (4 looks); Extended (H/L): 18 - 16 x 25 m / 53 - 23 x 25 m (4 looks); Fine Quad-Pol: 17 - 7 x 8 m (1 look); Wide Fine Quad-Pol: 17 - 8 x 8 m (1 look); Standard Quad-Pol: 29 - 18 x 8 m (1 look); Wide Standard Quad-Pol: 30 - 17 x 8 m (1 look); ScanSAR (N/W): 81 - 38 x 40 - 70 m / 163 - 73 x 78 - 106 m (4/8 looks); Ship Detection: 33 - 23 x 19 - 77 m (5 looks); Ocean Surveillance: 80 - 36 x 27 - 99 m (4 looks).[Best Resolution: 0.8m]";"Spotlight: 18 km [8 km along-track];  Ultra-Fine: 20 km; Wide Ultra-Fine: 50 km; Multi-Look Fine/Wide MLF: 50/90 km; Extra-Fine: 125 km; Fine: 50 km;  Wide Fine: 150 km; Standard: 100 km; Wide: 150 km; Extended (H/L): 75/170 km; Fine Quad-Pol: 25 km; Wide Fine Quad-Pol: 50 km; Standard Quad-Pol: 25 km; Wide Standard Quad-Pol: 50 km; ScanSAR (N/W): 300/500 km; Ship Detection: 450 km; Ocean Surveillance: 500 km.[Max Swath: 500 km]";"SAR (RADARSAT-2)";"Synthetic Aperture Radar (SAR) C band";"Imaging radar (SAR)";"CSA"
"360";"GCOM-C";"Global Change Observation Mission-Climateaka Shikisai";"JAXA";"23 Dec 2017";"Sun-synchronous";901;"SGLI-VNR: 250 m, 1000 m; SGLI-IRS: 250 m, 500 m, 1000 m[Best Resolution: 250m]";"SGLI-VNR: 1150 km; SGLI-IRS: 1400km[Max Swath: 1400 km]";"SGLI";"Second-generation Global Imager";"Medium-resolution spectro-radiometer";"JAXA"
"361";"NPOESS-3";"National Polar-orbiting Operational Environmental Satellite System - 3";"NOAA";"31 Jan 2018";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"362";"NPOESS-4";"National Polar-orbiting Operational Environmental Satellite System - 4";"NOAA";"31 Jan 2020";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"363";"FY-2C";"FY-2C Geostationary Meteorological Satellite";"NSMC-CMA, NRSCC";"19 Oct 2004";"Geostationary";665;"5 km[Best Resolution: 5000m]";"Full Earth disk";"VISSR-2";"Stretched Visible and Infrared Spin Scan Radiometer-2";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"364";"FY-2D";"FY-2D Geostationary Meteorological Satellite";"NSMC-CMA, NRSCC";"08 Dec 2006";"Geostationary";665;"5 km[Best Resolution: 5000m]";"Full Earth disk";"VISSR-2";"Stretched Visible and Infrared Spin Scan Radiometer-2";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"365";"FY-2E";"FY-2E Geostationary Meteorological Satellite";"NSMC-CMA, NRSCC";"23 Dec 2008";"Geostationary";665;"5 km[Best Resolution: 5000m]";"Full Earth disk";"VISSR-2";"Stretched Visible and Infrared Spin Scan Radiometer-2";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"366";"FY-3A";"FY-3A Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"27 May 2008";"Sun-synchronous";893;"250 m for broadband channels, 1 km for narrowband channels[Best Resolution: 250m]";"2800 km[Max Swath: 2800 km]";"MERSI";"Medium Resolution Spectral Imager";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"367";"FY-3B";"FY-3B Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"05 Nov 2010";"Sun-synchronous";893;"250 m for broadband channels, 1 km for narrowband channels[Best Resolution: 250m]";"2800 km[Max Swath: 2800 km]";"MERSI";"Medium Resolution Spectral Imager";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"368";"FY-3C";"FY-3C Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"23 Sep 2013";"Sun-synchronous";893;"250 m for broadband channels, 1 km for narrowband channels[Best Resolution: 250m]";"2800 km[Max Swath: 2800 km]";"MERSI";"Medium Resolution Spectral Imager";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"369";"FY-3D";"FY-3D Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"15 Nov 2017";"Sun-synchronous";1620;"";"";"MERSI-2";"Improved Medium Resolution Spectral Imager";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"370";"FY-3E";"FY-3E Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"05 Jul 2021";"Sun-synchronous";1947;"";"";"MERSI-LL";"Medium Resolution Spectral Imager - Low-Light";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"371";"FY-3F";"FY-3F Polar-orbiting Meteorological Satellite";"NSMC-CMA, NRSCC";"03 Aug 2023";"Sun-synchronous";1946;"";"";"MERSI-3";"Improved Medium Resolution Spectral Imager - 3";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"";"";"";"";"";"";671;"";"";"MVIRS";"Moderate Resolution Visible and Infrared Imaging Spectroradiometer";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, CNSA"
"382";"NPOESS-5";"National Polar-orbiting Operational Environmental Satellite System - 4";"NOAA";"01 Jan 2018";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"383";"NPOESS-6";"National Polar-orbiting Operational Environmental Satellite System - 4";"NOAA";"09 May 2019";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"386";"ESA Future Missions";"ESA Future Missions";"ESA";"01 Jan 2008";"TBD";321;"Spatial sampling interval approx 50 m, along track pointing ±30 deg";"50 km";"SPECTRA";"Surface Processes and Ecosystem Changes Through Response Analysis";"High resolution optical imager";"ESA"
"390";"BIRD";"Bi-spectral Infrared Detection";"DLR";"22 Oct 2001";"Sun-synchronous";699;"185 m";"533 km";"WAOSS-B";"Wide-Angle Optoelectronic Stereo Scanner";"High resolution optical imager";"DLR"
"391";"TerraSAR-X";"TerraSAR-X";"DLR";"15 Jun 2007";"Sun-synchronous";697;"Spotlight: 1.2 x 1 - 4 m Stripmap: 3 x 3 - 6 m ScanSAR: 16 x 16 m[Best Resolution: 1m]";"Spotlight: 5-10km x 10 km, Stripmap: 30 km, ScanSAR: 100 km[Max Swath: 100 km]";"X-Band SAR";"X-Band Synthetic Aperture Radar";"Imaging radar (SAR)";"DLR"
"392";"CBERS-3";"China Brazil Earth Resources Satellite - 3aka ZY-01-3";"CRESDA, INPE";"10 Dec 2013";"Sun-synchronous";818;"20 m[Best Resolution: 20m]";"120 km[Max Swath: 120 km]";"MUX (CBERS-4)";"Multispectral CCD Camera";"High resolution optical imager";"INPE, CAST"
"";"";"";"";"";"";867;"5 m panchromatic and 10 m multispectral[Best Resolution: 5m]";"60 km[Max Swath: 60 km]";"PAN (CBERS-4)";"Panchromatic and Multispectral Imager";"High resolution optical imager";"CAST, INPE"
"";"";"";"";"";"";817;"64 m Nadir[Best Resolution: 64m]";"866 km[Max Swath: 866 km]";"WFI (CBERS-4)";"Wide Field Imager (CBERS)";"Multi-purpose imaging Vis/IR radiometer";"INPE, CAST"
"393";"CBERS-4";"China Brazil Earth Resources Satellite - 4aka ZY-01-4";"CRESDA, INPE";"07 Dec 2014";"Sun-synchronous";818;"20 m[Best Resolution: 20m]";"120 km[Max Swath: 120 km]";"MUX (CBERS-4)";"Multispectral CCD Camera";"High resolution optical imager";"INPE, CAST"
"";"";"";"";"";"";867;"5 m panchromatic and 10 m multispectral[Best Resolution: 5m]";"60 km[Max Swath: 60 km]";"PAN (CBERS-4)";"Panchromatic and Multispectral Imager";"High resolution optical imager";"CAST, INPE"
"";"";"";"";"";"";817;"64 m Nadir[Best Resolution: 64m]";"866 km[Max Swath: 866 km]";"WFI (CBERS-4)";"Wide Field Imager (CBERS)";"Multi-purpose imaging Vis/IR radiometer";"INPE, CAST"
"395";"COSMO-SkyMed 1";"COnstellation of small Satellites for Mediterranean basin Observation - 1aka CSK-1";"ASI, MoD (Italy)";"08 Jun 2007";"Sun-synchronous";704;"Single polarisation modes; Spotlight: 1 m. Stripmap: 3 - 15 m, ScanSAR: 30 or 100 m. Two polarisation mode (PING-PONG): 15 m.[Best Resolution: 1m]";"Single polarisation modes: Spotlight: 10 km. Stripmap; 40 km. ScanSAR: 100 or 200 km - Two polarisation mode (PING-PONG): 30 km.[Max Swath: 200 km]";"SAR 2000";"Synthetic Aperture Radar - 2000";"Imaging radar (SAR)";"ASI, MoD (Italy)"
"396";"PRISMA";"PRecursore IperSpettrale della Missione Applicativa";"ASI";"22 Mar 2019";"Sun-synchronous";705;"30 m[Best Resolution: 30m]";"30 km[Max Swath: 30 km]";"HYC";"HYperspectral Camera";"Medium-resolution IR spectrometer";"ASI"
"";"";"";"";"";"";832;"5 m[Best Resolution: 5m]";"30 km[Max Swath: 30 km]";"PAN CAMERA";"Panchromatic Camera";"High resolution optical imager";"ASI"
"397";"SABRINA";"SAr Bissat Radar for INterferometric Applications";"ASI";"20 Apr 2012";"Sun-synchronous";706;"";"";"SAR (SABRINA)";"Synthetic Aperature Radar (SABRINA)";"Imaging radar (SAR)";"ASI"
"403";"PROBA";"Project for On-Board Autonomy";"ESA";"22 Oct 2001";"Sun-synchronous";720;"36 m or 18 m depending on wavebands selected.[Best Resolution: 18m]";"14 km[Max Swath: 14 km]";"CHRIS";"Compact High Resolution Imaging Spectrometer";"High resolution optical imager";"ESA, UKSA"
"404";"TopSat";"Optical Imaging Satellite";"UKSA";"27 Oct 2005";"Sun-synchronous";721;"Multi-spectral imagery (RGB). resolution 5.6 m[Best Resolution: 5.6m]";"Panchromatic imagery 17 x 17 km; Multi Spectral - Swath 12 x 18 km[Max Swath: 17 km]";"TOPSAT Telescope";"TOPSAT Telescope";"High resolution optical imager";"UKSA"
"405";"SAOCOM 1A";"Satélite Argentino de Observación COn Microondas 1A";"CONAE, ASI";"07 Oct 2018";"Sun-synchronous";731;"10 x 10 m – 100 x 100 m[Best Resolution: 10m]";"20 – 350 km[Max Swath: 350 km]";"SAR-L";"L-Band Synthetic Aperture Radar";"Imaging radar (SAR)";"CONAE"
"407";"KOMPSAT-2";"Korea Multi-Purpose Satellite -2aka Arirang-2";"KARI, ASTRIUM, E-LOP";"27 Jul 2006";"Sun-synchronous";735;"Pan: 1 m; VIS-NIR: 4 m[Best Resolution: 1m]";"15 km[Max Swath: 15 km]";"MSC";"Multi-Spectral Camera";"High resolution optical imager";"KARI, E-LOP"
"413";"Suomi NPP";"Suomi National Polar-orbiting Partnershipaka NPP, S-NPP";"NASA, NOAA";"28 Oct 2011";"Sun-synchronous";412;"400 m - 1.6 km[Best Resolution: 400m]";"3000 km[Max Swath: 3000 km]";"VIIRS";"Visible/Infrared Imager Radiometer Suite";"Multi-purpose imaging Vis/IR radiometer";"NOAA, NASA"
"426";"UK-DMC";"UK Disaster Monitoring Constellation";"UKSA";"27 Sep 2003";"Sun-synchronous";769;"32 m[Best Resolution: 32m]";"Two imaging banks each with a 340km swath.  The two swaths overlap by 16km, providing a total swath up to 648km[Max Swath: 648 km]";"SLIM-6";"Surrey Linear Imager - 6 channel";"High resolution optical imager";"UKSA"
"427";"TerraSAR-L";"TerraSAR L band";"UKSA";"01 Jan 2006";"TBD";770;"5 m";"10 - 200 km depending on mode";"L-SAR";"L-Band SAR";"Imaging radar (SAR)";"UKSA"
"439";"RESOURCESAT-2";"Resource Satellite-2";"ISRO";"20 Apr 2011";"Sun-synchronous";460;"55 m[Best Resolution: 55m]";"740 km[Max Swath: 740 km]";"AWiFS";"Advanced Wide Field Sensor";"Multi-purpose imaging Vis/IR radiometer";"ISRO"
"";"";"";"";"";"";934;"23.5 m[Best Resolution: 23.5m]";"141 km[Max Swath: 141 km]";"LISS-III (Resourcesat)";"Linear Imaging Self Scanner - III (Resourcesat)";"High resolution optical imager";"ISRO"
"";"";"";"";"";"";461;"5.8 m[Best Resolution: 5.8m]";"70 km[Max Swath: 70 km]";"LISS-IV";"Linear Imaging Self Scanner - IV";"High resolution optical imager";"ISRO"
"441";"RISAT-1";"Radar Imaging Satellite";"ISRO";"26 Apr 2012";"Sun-synchronous";790;"3 - 6 m (FRS-1), 9 - 12 m (FRS-2), 25/50 m (MRS/CRS)[Best Resolution: 3m]";"30 km (HRS), 30 km (FRS-1/FRS-2), 120/240 km (MRS/CRS)[Max Swath: 240 km]";"SAR (RISAT)";"Synthetic Aperature Radiometer (RISAT)";"Imaging radar (SAR)";"ISRO"
"451";"Meteosat-11";"Meteosat Second Generation-4aka MSG-4";"EUMETSAT, ESA";"15 Jul 2015";"Geostationary";302;"HRV=1 km, All other channels=3 km (spatial sampling distance at SSP)[Best Resolution: 1000m]";"9 km swath scanning E-W, moving up S-N a swath width at the end of each swath.  Full Disc Coverage (FDC) or Local Area Coverage (LAC) possible.[Max Swath: 9 km]";"SEVIRI";"Spinning Enhanced Visible and Infra-Red Imager";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, ESA"
"452";"SAOCOM 1B";"Satélite Argentino de Observación COn Microondas 1B";"CONAE, ASI";"30 Aug 2020";"Sun-synchronous";731;"10 x 10 m – 100 x 100 m[Best Resolution: 10m]";"20 – 350 km[Max Swath: 350 km]";"SAR-L";"L-Band Synthetic Aperture Radar";"Imaging radar (SAR)";"CONAE"
"454";"SABIA-Mar";"SABIA-Mar";"CONAE, INPE";"01 Jan 2017";"Sun-synchronous";807;"";"";"MOC";"Multi-spectral Optical Camera";"High resolution optical imager";"CONAE, INPE"
"456";"SAOCOM-2B";"Satélite Argentino de Observación COn Microondas 2B";"CONAE, ASI";"31 Aug 2030";"Sun-synchronous";731;"10 x 10 m – 100 x 100 m[Best Resolution: 10m]";"20 – 350 km[Max Swath: 350 km]";"SAR-L";"L-Band Synthetic Aperture Radar";"Imaging radar (SAR)";"CONAE"
"457";"SAOCOM-2";"Satélite Argentino de Observación COn Microondas 2A";"CONAE, ASI";"2031";"Sun-synchronous";731;"10 x 10 m – 100 x 100 m[Best Resolution: 10m]";"20 – 350 km[Max Swath: 350 km]";"SAR-L";"L-Band Synthetic Aperture Radar";"Imaging radar (SAR)";"CONAE"
"458";"GOSAT";"Greenhouse gases Observing SATelliteaka Ibuki";"JAXA, MOE (Japan), NIES (Japan)";"23 Jan 2009";"Sun-synchronous";904;"0.5 km (0.380, 0.674, 0.870 µm bands), 1.5 km (1.62 µm band)[Best Resolution: 500m]";"1000 km (0.380 µm, 0.678 µm, 0.870 µm bands), 750 km (1.62 µm band)";"TANSO-CAI";"Thermal And Near infrared Sensor for carbon Observation - Cloud and Aerosol Imager";"Multi-purpose imaging Vis/IR radiometer";"JAXA, MOE (Japan), NIES (Japan)"
"";"";"";"";"";"";905;"10.5 km[Best Resolution: 10500m]";"1000 km[Max Swath: 1000 km]";"TANSO-FTS";"Thermal And Near infrared Sensor for carbon Observation - Fourier Transform Spectrometer";"High-resolution nadir-scanning IR spectrometer";"JAXA, MOE (Japan), NIES (Japan)"
"460";"CBERS-2B";"China Brazil Earth Resources Satellite - 2Baka ZY01-2B";"CRESDA, INPE";"19 Sep 2007";"Sun-synchronous";409;"20 m[Best Resolution: 20m]";"113 km[Max Swath: 113 km]";"CCD";"High Resolution CCD Camera";"High resolution optical imager";"CAST, INPE"
"";"";"";"";"";"";406;"258 m[Best Resolution: 258m]";"890 km[Max Swath: 890 km]";"WFI";"Wide Field Imager";"Multi-purpose imaging Vis/IR radiometer";"CAST, INPE"
"463";"HJ-1A";"Huan Jing-1A";"CRESDA, CAST";"06 Sep 2008";"Sun-synchronous";824;"100 m[Best Resolution: 100m]";"50 km[Max Swath: 50 km]";"HSI (HJ-1A)";"Hyper Spectrum Imager";"Multi-purpose imaging Vis/IR radiometer";"CAST"
"469";"RapidEye";"RapidEye";"DLR, DLR, DLR, DLR, DLR";"29 Aug 2008";"Sun-synchronous";831;"6.5 m[Best Resolution: 6.5m]";"78 km[Max Swath: 78 km]";"MSI";"Multi Spectral Imager";"High resolution optical imager";"DLR"
"471";"BelKA";"Belorussian space apparatus";"ROSKOSMOS";"01 Jan 2006";"Sun-synchronous";834;"2.1 m[Best Resolution: 2.1m]";"23 km[Max Swath: 23 km]";"PSS";"Panchromatic imaging system";"High resolution optical imager";"ROSKOSMOS"
"475";"THEOS";"Thailand Earth Observation Systemaka THAICHOTE";"GISTDA";"01 Oct 2008";"Sun-synchronous";858;"15m[Best Resolution: 15m]";"90km[Max Swath: 90 km]";"TOP (MS)";"THEOS Optical Payload (MS)";"High resolution optical imager";"GISTDA"
"476";"Meteor-M N1";"Meteorological Satellite Meteor-M N1";"ROSKOSMOS, ROSHYDROMET";"17 Sep 2009";"Sun-synchronous";779;"1000 m[Best Resolution: 1000m]";"2900 km[Max Swath: 2900 km]";"MSU-MR";"Low-resolution multispectral scanning imager-radiometer";"Multi-purpose imaging Vis/IR radiometer";"ROSKOSMOS, ROSHYDROMET"
"";"";"";"";"";"";900;"350-1000 m[Best Resolution: 350m]";"450 km[Max Swath: 450 km]";"Severyanin-M";"Severyanin-M";"Imaging radar (SAR)";"ROSKOSMOS, ROSHYDROMET"
"477";"Meteor-M N2";"Meteorological Satellite Meteor-M N2";"ROSKOSMOS, ROSHYDROMET";"08 Jul 2014";"Sun-synchronous";779;"1000 m[Best Resolution: 1000m]";"2900 km[Max Swath: 2900 km]";"MSU-MR";"Low-resolution multispectral scanning imager-radiometer";"Multi-purpose imaging Vis/IR radiometer";"ROSKOSMOS, ROSHYDROMET"
"";"";"";"";"";"";900;"350-1000 m[Best Resolution: 350m]";"450 km[Max Swath: 450 km]";"Severyanin-M";"Severyanin-M";"Imaging radar (SAR)";"ROSKOSMOS, ROSHYDROMET"
"478";"Pleiades 1A";"Pleiades 1A";"CNES";"17 Dec 2011";"Sun-synchronous";887;"0.70 m[Best Resolution: 0.7m]";"20 km swath at nadir. Agile platform giving ±50 deg off-track[Max Swath: 20 km]";"HiRI";"High-Resolution Imager";"High resolution optical imager";"CNES"
"479";"Pleiades 1B";"Pleiades 1B";"CNES";"02 Dec 2012";"Sun-synchronous";887;"0.70 m[Best Resolution: 0.7m]";"20 km swath at nadir. Agile platform giving ±50 deg off-track[Max Swath: 20 km]";"HiRI";"High-Resolution Imager";"High resolution optical imager";"CNES"
"513";"NOAA-7";"National Oceanic and Atmospheric Administration - 7";"NOAA";"23 Jun 1981";"Sun-synchronous";310;"1.1 km IFOV s.s.p. (at Instantaneous Field of View at subsatellite point)[Best Resolution: 1100m]";"2900km[Max Swath: 2900 km]";"AVHRR/2";"Advanced Very High Resolution Radiometer/2";"Multi-purpose imaging Vis/IR radiometer";"NOAA"
"526";"COSMO-SkyMed 2";"COnstellation of small Satellites for Mediterranean basin Observation - 2aka CSK-2";"ASI, MoD (Italy)";"09 Dec 2007";"Sun-synchronous";704;"Single polarisation modes; Spotlight: 1 m. Stripmap: 3 - 15 m, ScanSAR: 30 or 100 m. Two polarisation mode (PING-PONG): 15 m.[Best Resolution: 1m]";"Single polarisation modes: Spotlight: 10 km. Stripmap; 40 km. ScanSAR: 100 or 200 km - Two polarisation mode (PING-PONG): 30 km.[Max Swath: 200 km]";"SAR 2000";"Synthetic Aperture Radar - 2000";"Imaging radar (SAR)";"ASI, MoD (Italy)"
"527";"COSMO-SkyMed 3";"COnstellation of small Satellites for Mediterranean basin Observation - 3aka CSK-3";"ASI, MoD (Italy)";"25 Oct 2008";"Sun-synchronous";704;"Single polarisation modes; Spotlight: 1 m. Stripmap: 3 - 15 m, ScanSAR: 30 or 100 m. Two polarisation mode (PING-PONG): 15 m.[Best Resolution: 1m]";"Single polarisation modes: Spotlight: 10 km. Stripmap; 40 km. ScanSAR: 100 or 200 km - Two polarisation mode (PING-PONG): 30 km.[Max Swath: 200 km]";"SAR 2000";"Synthetic Aperture Radar - 2000";"Imaging radar (SAR)";"ASI, MoD (Italy)"
"528";"COSMO-SkyMed 4";"COnstellation of small Satellites for Mediterranean basin Observation - 4aka CSK-4";"ASI, MoD (Italy)";"06 Nov 2010";"Sun-synchronous";704;"Single polarisation modes; Spotlight: 1 m. Stripmap: 3 - 15 m, ScanSAR: 30 or 100 m. Two polarisation mode (PING-PONG): 15 m.[Best Resolution: 1m]";"Single polarisation modes: Spotlight: 10 km. Stripmap; 40 km. ScanSAR: 100 or 200 km - Two polarisation mode (PING-PONG): 30 km.[Max Swath: 200 km]";"SAR 2000";"Synthetic Aperture Radar - 2000";"Imaging radar (SAR)";"ASI, MoD (Italy)"
"530";"Elektro-L N2";"Geostationary Operational Meteorological Satellite";"ROSKOSMOS, ROSHYDROMET";"11 Dec 2015";"Geostationary";784;"1000 m; 4000 m[Best Resolution: 1000m]";"Full Earth disk";"MSU-GS";"Multispectral scanning imager-radiometer";"Multi-purpose imaging Vis/IR radiometer";"ROSKOSMOS, ROSHYDROMET"
"531";"FY-2F";"FY-2F Geostationary Meteorological Satellite";"NSMC-CMA, NRSCC";"13 Jan 2012";"Geostationary";665;"5 km[Best Resolution: 5000m]";"Full Earth disk";"VISSR-2";"Stretched Visible and Infrared Spin Scan Radiometer-2";"Multi-purpose imaging Vis/IR radiometer";"NRSCC, CAST, NSMC-CMA, CNSA"
"540";"GCOM-C2";"Global Change Observation Mission-Climate2";"JAXA";"31 Dec 2021";"Sun-synchronous";901;"SGLI-VNR: 250 m, 1000 m; SGLI-IRS: 250 m, 500 m, 1000 m[Best Resolution: 250m]";"SGLI-VNR: 1150 km; SGLI-IRS: 1400km[Max Swath: 1400 km]";"SGLI";"Second-generation Global Imager";"Medium-resolution spectro-radiometer";"JAXA"
"541";"GCOM-C3";"Global Change Observation Mission-Climate3";"JAXA";"31 Dec 2025";"Sun-synchronous";901;"SGLI-VNR: 250 m, 1000 m; SGLI-IRS: 250 m, 500 m, 1000 m[Best Resolution: 250m]";"SGLI-VNR: 1150 km; SGLI-IRS: 1400km[Max Swath: 1400 km]";"SGLI";"Second-generation Global Imager";"Medium-resolution spectro-radiometer";"JAXA"
"547";"Landsat 8";"Landsat 8aka L8, Landsat Data Continuity Mission (LDCM), Landsat-8";"USGS, NASA";"11 Feb 2013";"Sun-synchronous";897;"Pan: 15 m, VIS - SWIR: 30 m[Best Resolution: 15m]";"185 km[Max Swath: 185 km]";"OLI";"Operational Land Imager";"High resolution optical imager";"USGS, NASA"
"";"";"";"";"";"";1524;"100 m[Best Resolution: 100m]";"185 km[Max Swath: 185 km]";"TIRS";"Thermal Infrared Sensor";"Narrow-band channel IR radiometer";"USGS, NASA"
"548";"MTG-I1 (imaging)";"Meteosat Third Generation - Imaging Satellite 1aka Meteosat-12";"EUMETSAT, ESA";"13 Dec 2022";"Geostationary";885;"VIS0.4=1.0 km, VIS0.5=1.0 km, VIS0.6=1.0 km & 0.5 km, VIS0.8=1.0 km, VIS0.9=1.0 km, NIR1.3=1.0 km, NIR1.6=1.0 km, NIR2.2=1.0 km & 0.5 km, IR3.8=2.0 km & 1.0 km, WV6.3=2.0 km, WV7.3=2.0 km, IR8.7=2.0 km, IR9.7=2.0 km, IR10.5=2.0 km & 1.0 km, IR12.3=2.0 km,[Best Resolution: 500m]";"210 km swath moved alternately W-E and E-W, moving up S-N a swath width at the end of each swath.  Full Disc Coverage (FDC) or Local Area Coverage (LAC) possible.[Max Swath: 210 km]";"FCI";"Flexible Combined Imager";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, ESA"
"552";"Sentinel-2 A";"Sentinel-2 Aaka S2A";"ESA, COM";"23 Jun 2015";"Sun-synchronous";940;"10 m for 4 bands in VNIR, 60 m for 3 dedicated atmospheric correction bands, 20 m for remaining bands for S-2. 5m spatial resolution for S2NG[Best Resolution: 10m]";"290 km[Max Swath: 290 km]";"MSI (Sentinel-2)";"Multi-Spectral Instrument (Sentinel-2)";"High resolution optical imager";"ESA, COM"
"553";"Sentinel-2 B";"Sentinel-2 Baka S2B";"ESA, COM";"06 Mar 2017";"Sun-synchronous";940;"10 m for 4 bands in VNIR, 60 m for 3 dedicated atmospheric correction bands, 20 m for remaining bands for S-2. 5m spatial resolution for S2NG[Best Resolution: 10m]";"290 km[Max Swath: 290 km]";"MSI (Sentinel-2)";"Multi-Spectral Instrument (Sentinel-2)";"High resolution optical imager";"ESA, COM"
"554";"Sentinel-3 A";"Sentinel-3 Aaka S3A";"ESA, COM, EUMETSAT";"16 Feb 2016";"Sun-synchronous";896;"300 m[Best Resolution: 300m]";"1270 km, across-track tilt 12.2 deg to the West[Max Swath: 1270 km]";"OLCI";"Ocean and Land Colour Imager";"Medium-resolution spectro-radiometer";"ESA, COM"
"555";"Sentinel-3 B";"Sentinel-3 Baka S3B";"ESA, COM, EUMETSAT";"25 Apr 2018";"Sun-synchronous";896;"300 m[Best Resolution: 300m]";"1270 km, across-track tilt 12.2 deg to the West[Max Swath: 1270 km]";"OLCI";"Ocean and Land Colour Imager";"Medium-resolution spectro-radiometer";"ESA, COM"
"557";"METOP-SG A1";"EUMETSAT Polar System - Second Generation - atmosphere sounding and imaging satellite 1aka EPS-SG-a1";"EUMETSAT, CNES, COM, DLR, ESA";"Oct 2025";"Sun-synchronous";965;"Pixel size 500m at Nadir[Best Resolution: 500m]";"2560 km (+/-53°)[Max Swath: 2700 km]";"METimage";"Multi Spectral Imager";"Multi-purpose imaging Vis/IR radiometer";"EUMETSAT, DLR"
"559";"SumbandilaSat";"Sumbandila Satellite";"SANSA, Uni of Stellenbosh";"17 Sep 2009";"Sun-synchronous";908;"6.25 m GSD[Best Resolution: 6.25m]";"Swath width : 45 km; Off-nadir: 530 km[Max Swath: 530 km]";"MSI (SumbandilaSat)";"Multi-Spectral Imager (SumbandilaSat)aka SumbandilaSat Imager";"High resolution optical imager";"SANSA, Uni of Stellenbosh"
"562";"SEOSAT/Ingenio";"Ingenio";"CDTI, ESA";"17 Nov 2020";"Sun-synchronous";914;"PAN: 2.5 m, MS: 10 m[Best Resolution: 2.5m]";"Swath will move between 55 and 60 km depending on latitude.[Max Swath: 60 km]";"PAN+MS (RGB+NIR)";"SEOSAT/Ingenio PAN+MS (RGB+NIR)";"High resolution optical imager";"CDTI, ESA"
